week,location,average_prize
02/05/2020,kolkata-NS(202.32)Guwahati-217.56(143.43)217.56(143.43)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin125.94(129.73)Coonoor97.55(99.19)Coimbatore-NS(110.41),77.27(90.30)
25/04/2020,kolkata-NS(188.95)Guwahati-111.34(152.29)111.34(152.29)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin122.94(129.13)Coonoor92.09(100.77)Coimbatore-105.94(108.18),79.29(90.31)
18/04/2020,kolkata-NS(175.25)Guwahati-NS(167.26)NS(167.26)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin130.27(NS)CoonoorNS(99.97)Coimbatore-NS(111.36),NS(88.79)
11/04/2020,kolkata-NS(161.15)Guwahati-NS(171.04)NS(171.04)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin121.58(128.38)CoonoorNS(100.46)Coimbatore-NS(109.66),NS(90.70)
04/04/2020,kolkata-NS(126.10)Guwahati-NS(176.47)NS(176.47)Siliguri-Jalpaiguri-NS(NS)mjunctionCochinNS(127.54)CoonoorNS(101.02)Coimbatore-NS(108.17),NS(91.85)
21/03/2020,kolkata-104.29(116.78)Guwahati-82.62(113.16)82.62(113.16)Siliguri-Jalpaiguri-NS (NS)mjunctionCochin114.00(128.18)Coonoor82.32(101.65)Coimbatore-90.06(107.92),58.29(92.51)
14/03/2020,kolkata-90.82(107.51)Guwahati-NS(NS)NS(NS)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin113.86(127.64)Coonoor80.37(102.75)Coimbatore-95.57(108.17),59.99(93.44)
07/03/2020,kolkata-101.49(115.79)Guwahati-86.14(NS)86.14(NS)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin116.51(127.19)Coonoor79.65(101.65)Coimbatore-91.62(107.00),63.03(92.33)
29/02/2020,kolkata-103.45(113.26)Guwahati-89.03(121.65)89.03(121.65)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin115.54(126.29)Coonoor80.73(100.40)Coimbatore-92.45(104.19),61.16(89.32)
22/02/2020,kolkata-109.64(114.70)Guwahati-86.02(NS)86.02(NS)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin115.86(126.74)Coonoor79.97(98.80)Coimbatore-93.35(104.79),67.18(87.07)
15/02/2020,kolkata-111.38(119.85)Guwahati-92.23(124.68)92.23(124.68)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin116.70(129.72)Coonoor82.20(98.62)Coimbatore-92.75(103.63),66.60(90.39)
08/02/2020,kolkata-118.72(126.21)Guwahati-99.91(120.57)99.91(120.57)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin117.27(129.00)Coonoor81.24(99.52)Coimbatore-91.69(104.47),66.14(88.44)
01/02/2020,kolkata-128.94(129.62)Guwahati-106.67(122.45)106.67(122.45)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin119.05(130.93)Coonoor82.20(99.99)Coimbatore-92.68(108.22),66.47(87.54)
25/01/2020,kolkata-130.25(142.83)Guwahati-112.20(124.12)112.20(124.12)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin117.68(129.98)Coonoor82.85(101.25)Coimbatore-95.41(108.18),66.25(89.31)
18/01/2020,kolkata-134.41(148.72)Guwahati-118.91(123.48)118.91(123.48)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin118.11(128.14)Coonoor83.86(100.62)Coimbatore-94.78(107.08),64.64(89.11)
11/01/2020,kolkata-143.46(153.46)Guwahati-128.25(127.74)128.25(127.74)Siliguri-Jalpaiguri-NS(NS)mjunctionCochin117.34(127.40)Coonoor84.47(100.15)Coimbatore-94.22(106.78),74.98(89.51)
04/01/2020,kolkata-152.40(154.72)Guwahati-132.38(130.96)132.38(130.96)Siliguri-Jalpaiguri-NS(NS)mjunctionCochinNS(126.74)Coonoor84.25(98.23)Coimbatore-95.65(106.10),NS(89.64)
